prof,gender,class,reviewer,review_grade,review_text,sentiment
professor name,gender,class name,reviewer name,review grade,"Good professor with very clear, detailed slides that he uploads after every lecture. Midterm and Final format includes a long essay, some short answers, and some multiple choice, but as long as you pay attention in lecture and read parts of the textbook, this class is not that difficult. Selling the required textbook for this class $35 @madising.21@gmail.com","POS: 0.961, NEU: 0.038, NEG: 0.002"
professor name,gender,class name,reviewer name,review grade,"(CORONA REVIEW) Being made online, the class consisted of a midterm, weekly homework assignments (ended up being changed to only 4), a final, and optional weekly quizzes. Very easy to keep up with the weekly topics and attendance was required in discussion sections with participation being accounted for. Homework assignments were 2-3 pages of double spaced writing about a few guiding questions about the week's topic. Midterm had multiple choice, short answers, and an essay, but majority of the people I know didn't even end up getting to finish their essay completely. The final ended up becoming optional given a few different events that required correction from the Poli Sci department. Overall, a pretty easy class that allowed for conversation and study of modern American politics.","NEU: 0.909, POS: 0.074, NEG: 0.017"
professor name,gender,class name,reviewer name,review grade,"Lectures were clear and engaging. Peris wove in current events to explain political concepts, which made the content a lot easier for me to follow. There were 7 optional quizzes that were all multiple choice and could be used to help raise your grade. The midterm consisted of 25 multiple choice questions, 10 short answers (worth 5 points each), and an essay (worth 25 points). I think the average was 90 so everyone did pretty well. There were 7 homework assignments, but we could choose 4 to do. The assignments were essay responses to a prompt that tied in with the lectures. There was a two page minimum. We were given a ""life happens"" pass at the beginning of the quarter that could excuse any late assignment. The final ended up being an optional essay. For the most part, Peris was accommodating and understanding. He cares about his students and their learning.","POS: 0.940, NEU: 0.059, NEG: 0.001"
professor name,gender,class name,reviewer name,review grade,"Ajax definitely cared about his students and was always available to answer questions. Grading is based on participation/pop quizzes, midterm, final, and term paper. Be prepared for lots of reading each class.","POS: 0.975, NEU: 0.024, NEG: 0.001"
professor name,gender,class name,reviewer name,review grade,"Very fair professor and actually a very nice guy if you talk to him during office hours.  The class is very interesting but there is a lot of reading.  Study hard and you should be fine.Pay very close attention to the first 3 chapters, as their themes show up extensively throughout the course and in later chapters (make those connections).","POS: 0.989, NEU: 0.010, NEG: 0.001"
professor name,gender,class name,reviewer name,review grade,Take him.,"NEU: 0.926, POS: 0.064, NEG: 0.010"
professor name,gender,class name,reviewer name,review grade," Good Class.  Grading is interesting in that it reminded me a bit of high school -- less emphasis on exams, more emphasis on various ""assignments"" spaced out throughout the quarter. One of the assignments is a ""congressional simulation"" in which people make speeches, propose bills, etc. in front of the entire class. In my opinion, some people took this way, way too seriously and it kind of ruined it for others (swearing, arguing, one-uping people by making actual social media profiles of themselves as ""congressmen""). I'm assuming there are people who do this every quarter.  Perris is a great lecturer. Slides are super clear, no BS, he has clearly put a lot of thought into the course. Final exam and midterm were exceptionally straightforward, online, and open note.  In conclusion, this class is unlike normal Pol Sci courses in that your grade isn't based on just a midterm and final. Your grade in this class is based on a variety of quizzes, homework assignments (ie. short papers), your ""simulation"" participation, a small project, and 2 exams -- all of which are graded very fairly. If that sounds good to you, take this class. However, if you don't like the idea of constantly checking in/ participating in one course (ie. you prefer taking 2 tests and getting them over with), then it may be a good idea to avoid this.","POS: 0.565, NEU: 0.344, NEG: 0.092"
professor name,gender,class name,reviewer name,review grade,"This class was 3 homework assignments, the Congress simulation, 7 quizzes, the midterm, and the final. This seems like a lot, but it wasn't! Pretty manageable even with the simulation where I had a lot of extra work since I took on a leadership position within the ""Senate"". It was pretty fun participating because it led to more interaction between students. The homeworks were fine and I didn't stress over them too much! The midterm and final were take-home and pretty doable!","POS: 0.965, NEU: 0.033, NEG: 0.002"
professor name,gender,class name,reviewer name,review grade,"This was my last political science class needed and I felt it was a decent way to go out. The class has three homework assignments where you research a congressperson/committee. Then you have a midterm and final along with a congressional simulation where you pretend to be a US senator through legislation/social media/floor debates/a final campaign ad and more. Its a very fair class and although I barely attended because of my jobs, I still got a good grade and learned a lot.","POS: 0.924, NEU: 0.074, NEG: 0.002"
professor name,gender,class name,reviewer name,review grade,"During my entire undergraduate career, I have never had such an engaged, passionate, helpful, and caring Professor. Professor Peris has the ability to make even the dullest topics entertaining. During class, he always makes sure to answer every student's question effectively, always staying after class to answer any remaining questions. I have made it a priority to attend his office hours almost every week. Professor Peris is always very welcoming and makes sure to answer my questions, even if we go over time. In the past, whenever I would attempt to do outside learning on the course material and ask my professor about it, I would get very sparse answers. Professor Peris, on the other hand, welcomes this type of inquiry. Had he not been teaching this class, I could assure you that I would think studying Congress was incredibly mundane. Now, I have decided to apply to different Ph.D. programs because I have realized how fascinating Congress is and how many questions I have left. I have been able to apply so much of the course content to contemporary events, and I have generated so many research questions just from discussing the course content with Professor Peris. He seems to truly care about students' concerns and goes out of his way to hear their feedback. If you are willing to put in the work to get a good grade for the congressional simulation, he will guide you through it and tell you exactly what you need to do to obtain full credit. He is an incredibly straightforward and fair grader. I am so thankful to have enrolled in this class. Professor Peris represents the best UCLA has to offer and has already made such a large impact on my academic journey. I just wish he taught more classes!!","POS: 0.991, NEU: 0.008, NEG: 0.002"
professor name,gender,class name,reviewer name,review grade,Peris is pretty chill and this class is an easy A. There are optional quizzes that a pretty as long as you do the reading.You also have to write a weekly report on a congressional committee which get easier as the quarter progresses but I always got 10/10. Would take Peris Again,"POS: 0.954, NEU: 0.045, NEG: 0.001"
professor name,gender,class name,reviewer name,review grade,"I enjoyed taking this class with Professor Peris, and the timing of the course in the context of the subject matter of Congress and the events of early 2021 made for a particularly exciting and engaging course.  Professor Peris' class was very straightforward and his lectures were organized (and recorded).   I feel as though I learned a lot and the workload was light.  No large writing assignments besides 8 weekly reports on a committee in Congress, but these were not overly time consuming.  Optional quizzes and the midterm/final were straightforward if you studied (and likely not horrible even if you did not review, as he also held reviews in class).","POS: 0.989, NEU: 0.010, NEG: 0.001"
professor name,gender,class name,reviewer name,review grade,"One of my favorite PS upper div classes! Peris is an amazing and organized lecturer, the content is interesting, and the structure of the course is good as well. Easy weekly assignments and reading quizzes that make up half of your grade and the midterm/final are easy to do well on if you pay attention in lecture. Definitely recommend this  course!!!","POS: 0.993, NEU: 0.005, NEG: 0.002"
professor name,gender,class name,reviewer name,review grade,"I enjoyed taking this course with Professor Ajax. His courses always seem to be organized and manageable. I would recommend taking his courses for this class and Congress. If he was teaching other courses at UCLA, I would also take them. This class required a polling group assignment, which was fun to complete with a team and present our research and findings. He is a caring professor and will answer in a timely manner to emails and will go out of his way to schedule office hours with students that are unable to come to his regular office hours. His guidance and answering questions have always been helpful. I recommend taking this course!","POS: 0.991, NEU: 0.008, NEG: 0.001"
professor name,gender,class name,reviewer name,review grade,"I thought this was an extremely engaging and worthwhile class. Assignments were all reasonable, especially given that there were no tests. The grade consisted of a few weekly writing assignments (2-3 pg) and then a group polling project that was pretty easy. He cares a lot and shows it while also making the subject extremely accessible.","POS: 0.992, NEU: 0.007, NEG: 0.002"
professor name,gender,class name,reviewer name,review grade," This was one of my favorite classes for the quarter. If you are a Political Science major, you need to take Peris at least once during your time here. The class was easy, but there is a heavier workload than expected. You must sign up for a survey-taking website, write 4 papers on the experiences and relate it back to course material. In addition, there is no final exam, but you do need to conduct your own survey as a final project. You have to work in a group of 3, and while the professor does not walk you through making charts and graphs and using Google Sheets, he is always available via email if you have any questions or concerns. The other nice thing about this class is that the professor encourages students to speak up and engage in his lecture. This makes the class feel more like a collaborative discussion than a monotone lecture. He starts every class by asking if there's anything in the news to discuss, and students can talk about anything that interests them. Public opinion is a subject that I only knew little about, but after taking this course I have a much better understanding of how important it is for the field I want to go into. If you like more hands-on application in terms of homework and project assignments, then this is a class you need to first pass!","POS: 0.783, NEU: 0.206, NEG: 0.011"
professor name,gender,class name,reviewer name,review grade," This class is AWESOME! Take it if you can! The ONLY downside is that the class is from 7-10pm on a Thursday night. Every class has 1 or 2 guests and they just talk and there's a break in between.The T.A.'s have a sign up sheet most of the classes because attendance was like 10% of the grade. The 2 group papers (8 pages and 4 pages) are relatively very easy and easily graded (he doesn't hand grades back until like week 9 but you can email him with questions and he LOVES to help).The final was an in-class written paper (can be typed too) about ONE very broad question you choose from 5, about one of the books he assigns (so you really don't have to do/buy the books except for the ONE you choose). The class before the final he says the 5 different questions that will be in the exam. From the three books, one is a super extra long academic essays one which i do not recommend even purchasing, and the other 2 are shorter and more exciting to read. Choose and buy ONLY ONE of the two books. The food network one is the best and the question from the final didn't even rely on the reading but reading it helps (the question was like DO YOU THINK THE FOOD NETWORK HAS A FUTURE IN THIS COMPETITIVE TV BUSINESS?) That was it... Take this class, it is fun and an easy A, and take your laptop every class because you never know how boring the guest speaker is so a computer will be the only entertainment source you'll have for 3 hours. CLASS SYLLABUS: COURSE OBJECTIVEThe course will serve to examine the evolving economic structures and business practices in the contemporary television industry across a broad spectrum of content delivery services, programming genres, participating companies and contributing individuals.Drawing upon the experiences and insights of distinguished industry professionals who will appear as guests and selected readings from academic, popular and trades sources, students will come to understand and appreciate the fundamental histories, change factors, pending issues and speculative projections that are shaping and re-shaping the contemporary television landscape.In doing so, students will learn analytical skills useful for the study of any media marketplace and become more insightful and informed consumers of television content.For students with career aspirations in the entertainment industry, the course seeks to both prepare and inspire them in pursuit of that goal. For students whose futures lie elsewhere, the course seeks to impart upon them analytical, organizational and creative tools and experiences that will enrich and reward them in any post-graduate, occupational or academic pursuit. TA SECTIONAL SEMINARSIn a very late development, the Department has received University approval for the creation of a weekly Teaching Assistant-led “Sectional”, as a means of supporting and amplifying the lecture and reading content of the course and providing an additional resource for the various assignments. As this development came very close to the commencement of the quarter, details regarding its scheduling are TBD. GUEST SPEAKERSThroughout the course, guest speakers from the highest levels of their respective facet of the industry will share their expertise in all areas of television, such as studio operations, made-for- TV movies, television advertising sales, casting, executive producing and “showrunning”, research, reality and non-fiction programming, among many others. These appearances are designed to be both interactive and skewed towards those themes that are explored in our readings and lectures. FTV 184B – Syllabus – Fall 2017Speakers are subject to availability and may – and often do – change at the last minute owing to the unpredictable nature of the business. GRADINGGrading for this course consists of three elements: Class Participation, which includes regular attendance and thoughtful and productive contributions to class discussions, and two group projects—a Midterm Group Research Paper, and a Final Group Paper + Final Individual “Essay- ette”. The grade breakdown is as follows:Class Participation 30%Midterm Project (Parts 1 & 2) 50% Final 20%Please note the somewhat unconventional allocation for grade determination. The greatest value of this course is the information received via lectures and our industry guest appearances -- in particular, the latter. It is extremely important that students attend every session, particularly as the class meets only once a week. Yes, it is unusual that the Mid-term Project should count for so much more than the Final. The reason for that is that is, frankly, the Mid- term Project is more challenging and more work than the Final and that the Mid-term lays the necessary foundation for the Final Project.Because of this unconventional allocation, the schedule for the Mid-term is shifted relative to the norm: The Mid-Term, Part 1 will be due on November 16th (Week 7). The Midterm, Part 2 will be due on November 30th (Week 9). The Final will be during the last regular class session, December 1st.THERE IS NO CLASS ON NOVEMBER 23TH – HAPPY THANKSGIVING ONE AND ALL ASSIGNED READING FTV 184B – Syllabus – Fall 2017       Lotz, Amanda D., ""THE TELEVISION WILL BE REVOLUTIONIZED"", New York: New York University Press, 2nd Edition, 2014 (selected excerpts only – which will be provided periodically)Salkin, Allen, ""FROM SCRATCH : INSIDE THE FOOD NETWORK"", New York : Putnum, 2013 or revised edition, Berkeley Press, 2014.As to the Salkin book, please plan on reading one chapter per week to remain current. This task should not be looked upon with trepidation; it’s a very readable and entertaining tale with ASSIGNMENTS MIDTERM, PART 1: “THE PIVOT POINT OR ‘EXTREME MAKEOVER – NETWORKEDITION’”8-12 pagesDue Week 7 (November 16th, 2017)As a means of considering a wide range of issues confronting contemporary broadcast and cable networks, student groups will be assigned a specific network that has a historic “pivot point” in its lifespan that redefined its place in the contemporary television landscape. Students will be asked to identify the “pivot point”, justify its selection and provide an explanation of some of the consequences of the pivot.Students will work in groups of 2-3, and each group will profile a different network, both to be determined by random selection.In providing both a guide and context for the identification of “the pivot”, the paper should include some reference to five basic areas of inquiry: Network Ownership and Financial Foundation, Programming Strategy, Marketing Strategy, Program Ownership and Financing, and Signature Show.Please note: Not every one of these questions need be answered in detail in the paper, although most of them will. Consider the following as both a guide for your research as well as a prospective checklist for content.The answer to many of these questions may change as the result of your designation of the respective “pivot point” for your network -- which is precisely the goal of the exercise many relevancies to the course content. I daresay that it might prove to be the most enjoyable reading assignment of any of your classes this quarter.Wolff, Michael, “TELEVISION IS THE NEW TELEVISION: THE UNEXPECTED TRIUMPH OF OLD MEDIA IN THE DIGITAL AGE”, New York: Portfolio/Penguin, 2015A very au courant thesis from one of the wisest and wittiest of our contemporary media sages. Mr. Wolff’s tome will help initiate and provoke some of our most interesting discussions.In addition, there will be various articles or book excerpts on a range of topics handed out each week in class (or sent to the students via PDF).1. Network Ownership and Financial FoundationThis area of inquiry should address, among others, such questions as:a. Who owns the network? Is it part of a conglomerate? Is it a publicly traded company, and if so, how does its ownership affect the type of programming and pressures placed upon the network?b. How does this network fit into the Owner’s overall business strategy?c. What other television interests does the Owner have, and how do they impact thenetwork?d. Where in its lifespan is the network currently? Is it mature, or is it an emergingstartup venture? Is it transitioning into something new, with a new identity?e. What is/are the revenue source(s) for the network? Advertising? Cable systemoperator fees (aka, retransmission fees)? Subscription fees?2. Programming StrategyThis area of inquiry should address the network’s programming objectives and the strategy it is currently using to achieve them. Such questions to pose might include:a. What percentage of programming is original, as opposed to acquired? Is the percentage of original programming increasing?b. What is the target audience these programs endeavor to reach? What is the age, gender, and ethnic breakdown for their audience? Does the programming attempt to evolve the demographic profile over time?c. Is the network’s schedule consistent from night to night, or are there varied strategies employed on different nights?3. Marketing StrategyIn the increasingly crowded and competitive television landscape, networks devote enormous resources towards marketing themselves and their programs. An understanding of a network’s marketing strategy is as critical to the success of a producer’s show as a programming strategy. This area of inquiry might touch upon such topics as:a. Does the network have a “brand,” and if so, how would it be defined?b. From your observations, what is the principal venue for the network’s marketing efforts? Do they use print media, broadcast media, outdoor (i.e. branding at sportsarenas, billboards), or on-air promotional spots—or a combination of these?c. Does the network have an internet presence that is distinctive and complementary?4. Program Ownership and FinancingA critical issue for networks and producers alike relates to the ownership and financing of original programs. This area of inquiry should address such questions as:a. How are the shows financed? (Note: Instructor will assist in directing students to necessary reference source if this question proves frustrating)b. Who owns the show after its network run? Does the producer have the right to distribute the show in other marketplaces, foreign or domestic? Do home video and Video On-Demand services factor into the equation?c. Is the production infrastructure handled in-house at the network or by an outside studio or production company?5. Signature ShowMany networks became household names owing to the prominence of one “signature” show with which the network is closely associated. These shows may help define the “brand” of the network. Identify a show, either scripted or unscripted, that would be representative of the network’s programming strategy, i.e., a “Signature Show” that best illustrates the “Pivot Point”. MIDTERM, PART 23-4 Page Paper Due Week 9 (November 30th, 2017)Working in the same groups as for the Midterm, prepare a short paper that provides a more detailed examination of the show used to illustrate the “Pivot Point”(For those familiar with the series Biography, first made famous on the old A&E Network, this assignment can be likened to researching the “biography” of a television show.)Using 3-4 pages, discuss the following questions:a. Where did the show come from?b. How did it come into being?c. Who thought of it? Who are the producers?d. Is this a pre-existing show or created/developed originally?e. Who directed the pilot? Who wrote the pilot?f. What does the show cost to produce?g. How frequently do episodes air? How many comprise a season?h. How long has the show been on air? How has it evolved over time, both in thequality of the storytelling and of the creative arts (cinematography, production design, lighting, etc.)?FINAL(Inclass. Dependingonhowtheindustryguestscheduleplaysout,theFinalwillbe given either on Week 10, December 7 – Pearl Harbor Day – or during Finals week proper, on December 14).Each student will be assigned a relatively brief (two to three pages) essay that addresses a question derived from one statement in the Amanda Lotz or Michael Wolff assigned textbook. Students will be assigned different questions, which can come from any part of the assignedreading. The essay can be handwritten or typed and emailed in class. P.S. By the end of the class you will all know much more than is necessary to write this little piece.","POS: 0.912, NEU: 0.072, NEG: 0.016"
professor name,gender,class name,reviewer name,review grade," Professor Nagle is awesome.  Lecture is once a week for 3 hours.  He typically lectured for an hour then brought in a guest to speak with us.  Guests were from all over the entertainment industry and were happy to answer our questions. The only negative to the class is that 50% of the grade is the midterm, a research paper on the history of a network that he assigns.  He will go out of his way to help you find all of the information you need, including putting you in contact with people who work at that network for a phone interview if need be.  He will also read your paper and provide feedback if you submit it to him early enough.  It's just a matter of having a group that is punctual and gets the paper done early enough. 30% of the grade is attendance.  Just show up and sign in The last 20% is the final, part of which is a short group paper on a show from the network you researched.  The other part is an in class essay based on the reading he assigned. It's an easy class and you'll learn a lot about the entertainment industry.  If you're interested in an entertainment career, take this class.","POS: 0.939, NEU: 0.056, NEG: 0.005"
professor name,gender,class name,reviewer name,review grade,"I loved Prof. Nagle's class – super straightforward and manageable, and the weekly industry guests were great. Pretty standard grading with participation, midterm and a final, but I took a lot of positive things away from this class and would take other classes with him in the future.","POS: 0.992, NEU: 0.006, NEG: 0.002"
professor name,gender,class name,reviewer name,review grade,"Best language teacher I've ever had. People don't enroll in Swahili unless they are enthusiastic. Complete immersion. She knows the material extremely well. Workload is constant, but very light. Grading extremely easy, but only because under her guidance, you learn all of the material and don't miss it on the exams. Incredibly fun, absolutely worthwhile.","POS: 0.993, NEU: 0.005, NEG: 0.002"
professor name,gender,class name,reviewer name,review grade,"I would say that the previous review of this course is pretty spot on when it comes to the way that Apter structures his lectures. I still enjoyed the course though and I do feel like I learned from him. As for the criticisms, Apter seems like a really cool guy but I think it would just be more helpful for students if he was a bit more organized when it comes to his slides and not going off on tangents, especially because it is such a theory-heavy course where it's rather easy to get confused by the material. It can be hard to follow along at times and it's kind of frustrating when you have to decipher what's important to the course, and what's just a personal story of his. A study guide for the exams would've been nice too, but I would say that each week has a specific theme, and the theme as a whole (if quite a bit of time was spent on it) has major potential to appear as an essay question on the exams.","POS: 0.937, NEU: 0.060, NEG: 0.003"
professor name,gender,class name,reviewer name,review grade,"For a core IDS class, I was heavily disappointed. Professor Apter covers key concepts necessary for development studies, such as dependency theory and modernization theory, however his delivery and lectures are in desperate need of clarity and structure. At the beginning of the course, he has powerpoint slides for each lecture, however, midway throughout the quarter he stops presenting from slides and provides no slides, notes, bullets, etc. These lectures were very confusing and essentially just consisted of tangents over tangents that left the class very confused as to what the objectives of the lecture were. There were many times where I had only a few sentences of notes because the majority of the lecture were filled with him rambling about who knows what. He is a nice person, however, as a professor he really needs some sort of structure to his class so students know what they are expected to learn. There was no study guide for the midterm or final so essentially you had to find anything that seemed important enough from the readings or lectures and regurgitate that. Midterm and final were of similar format, with you having to define a few terms out of a small word bank and then 1 essay for the midterm, 2 for the final. Discussions talked about the readings, some of which were important, others not so much. This was a theory-focused course and the readings were quite dense at times. I am highly disappointed with this course and it was my least favorite of the IDS core classes. I have had courses without slides before and they have been excellently structured so it is possible to teach a class this way, however, this was not it.","NEG: 0.958, NEU: 0.039, POS: 0.003"
professor name,gender,class name,reviewer name,review grade," IDS 100A Prof. Apter is the biggest disappointment to any IDS major. He is a conceited, very vocally biased anthropologist who has managed to say the words ""Bush, Cheney, or Republicans"" in every single lecture in a negative context. Biases and political rants aside, he is just simply ignorant; he couldn't draw a basic supply and demand curve and doesn't know a single thing about economics, despite his best attempts to sound educated in the subject He is incredibly disorganized in lecture, with no powerpoints, and regularly yelled at us for taking notes on our laptops. He speaks so fast and incoherently (with political rants spewed throughout) that it is impossible to understand just what the hell he is talking about. He loves talking about himself and his useless ""research"" concerning African sociology and anthropology; he has a lot to say about what aid programs fail to do, yet he himself has not done anything at all for the development world and makes you feel as if IDS is a total joke. In my four years at UCLA, Apter is by far the worst instructor I have ever had and I am actually ashamed to say he is a part of the IDS program. Not only is he a babbling idiot who contributes nothing to helping the world, he regularly hates on all others who dare to go against his socialist beliefs. One last note, he will call out students who are even 1 minute late and constantly remind us that ""this is the most important class you'll ever take and also the hardest"". ","NEG: 0.979, NEU: 0.018, POS: 0.003"
professor name,gender,class name,reviewer name,review grade,"Super interesting, unable to take notes, talks super fast..... do the reading all of it and pay attention, take notes on what he is saying forget the power point...","POS: 0.627, NEU: 0.342, NEG: 0.032"
professor name,gender,class name,reviewer name,review grade," I was honestly quite apprehensive about taking this class due to all the bad press Professor Apter has received from past reviewers. However, this class was honestly among the best I have taken at UCLA, and Professor Apter was key to this. This is no means an easy class; a lot of the material in both lectures and readings is pretty dense and requires a lot of thought and concentration, especially since the class is pretty fast-paced. The assessments moreover, though comprising just a midterm and a take-home final, are marked pretty strictly. However, don't be put off! I found Professor Apter to be a wonderful old-school sort of academic, exceptionally knowledgeable whilst also fairly eccentric. The class doesn't feel disorganised as all the lectures are very focused (though he doesn't share his powerpoints afterwards), with clear conclusions and key points summarised at the end. If you don't understand anything, he is very personable and helpful both during class and in office hours. He expects you to be motivated to learn and to be focused during class, but I honestly don't recognise what some of the past reviewers say about him being rude/disorganised/angry etc. He never for example shouted at anyone for coming in late, and was even giving out fistbumps by the end of the quarter. He was also very funny at times, and often had the whole class laughing with him when he recalled his past life researching in Nigeria. We memorably spent a whole class learning about and listening to old African pop music whilst he danced away at the front!  This is the first review I've written, and I only do it to correct what I think is a misleading and unfair image. He is a really good professor, and if you're interested in African history you will get a huge amount out of this class provided you put the work in.","NEU: 0.580, POS: 0.258, NEG: 0.162"
professor name,gender,class name,reviewer name,review grade," I took History 164E and IDS 100A with Apter. DO NOT TAKE ANY CLASS WITH HIM. Not only is he actually a terrible lecture but he is also a horribly rude person. His lectures are all over the place, no powerpoint, no real theme to take notes on. He goes off on side tangents about his ""research"" in Nigeria or about how much he hates republicans. He criticizes international development like it is a joke (clearly to the wrong audience, we are all IDS majors...); and hates on international aid but does not offer any alternatives - if you look up the ""research"" he has done in his career you will see this.  He can't even draw a supply and demand curve (anyone who took this class in Winter of 2015 will tell you that), the most basic principle of economics! That is completely ridiculous and there is no excuse why he should have such a lack of knowledge. And then, of course, he pretends that he knows so much more about economics than we do, and attempts to use fancy words in order to make himself feel smarter than us. He also has this really annoying habit of yelling at people who walk in right AT 9:30 or even at 9:31, because this class is ""the most important one you will ever take and you are being disrespectful by being late"". Well i'd like to see his fat a** walk from Veteran to Public Affairs and see if he got there on time. I learned absolutely nothing of value in this class, and if you have the opportunity to take either of these classes with a different professor, DO IT. His History 16E class was no better (taken Spring 2014). The best part of that class was I enjoyed one of the textbooks he assigned, but that was it. (learned more from the textbook than I did in lecture - the book is called The Fate of Africa). Overall he is the worst professor i've ever had at UCLA, and I started off as a south campus major taking classes from Lavelle and Dearicott, which is saying something.","NEG: 0.981, NEU: 0.016, POS: 0.003"
professor name,gender,class name,reviewer name,review grade,"For the IDS senior capstone, I was a bit let down. It's not hard, you'll choose a week to present on the readings, and then lead class discussion. There isn't a penalty for participants to not do the readings & the class is fairly disorganized, so it can be kind of painful to get through 3 hours this way. Then there's a pretty hefty research paper requirement at the end, the subject of which is very open-ended. Overall wish this class had more structure and I ultimately felt like it was a bit of a waste of time. If you want to learn something new, take a different prof.Apter himself is an interesting person, I wish he had tied some more of his own research/insight into engaging lectures to help us build skills to go out in the world as development scholars. Instead he would sometimes give a lecture, sometimes join discussions if no one else would. Much more engaging in OH.","NEG: 0.890, NEU: 0.107, POS: 0.003"
