prof,gender,class,class_abrev,review_grade,review_text
Wendy Giddens Teeter,NA,Introduction to American Indian Studies,AM IND M10,A+," Note: I believe Professor Teeter is moving on to do some work with indigenous tribes so this is more of a review of AmIndM10 in general. You should take this class if you want an easy GE. Firstly the grading is very lenient: it’s based on 5 discussion posts (full marks for engaging i.e a paragraph or two), discussion attendance (both being present and contributing), and 5 essays (750-1000 words each). The essays were quite easy to score well on because only 5/20 pts were based on content, the other 15 was things like citing enough sources and meeting the word count.  The workload depends on you. The readings are often very long, but not all readings need to be read for the purpose of the essays/discussion post so you can actually skim/skip a lot without having it negatively affect your grade. The 5 essays are usually once every fortnight and are 750-1000 words so relatively light. Overall the course is fairly easy but also what you learn is definitely very enlightening."
Wendy Giddens Teeter,NA,Introduction to American Indian Studies,AM IND M10,A+,"I took this class to fulfill a GE requirement, and it was my favorite GE by far. Professor Teeter was extremely clear during lecture and the workload was extremely manageable. We had 5 short writing assignments as opposed to longer papers or tests, and the prompts really helped to make connections between the course's different topics. Marina was also an amazing TA and extremely accommodating!"
Wendy Giddens Teeter,NA,Introduction to American Indian Studies,AM IND M10,A+,"Really enjoyed this class a lot! I actually took it for my global health minor and didn't think I would enjoy it as much as I did since it's outside of my major/minor focus more generally. Class structure involved lectures once per week, weekly readings, and then alternate assignments of reading logs and essays. Reading logs were really easy as we just had to reflect on a couple of the readings for completion credit, but essays did involve a bit more work (as we had to incorporate outside sources), but at least in my opinion were not graded harshly at all. Overall, I felt like the grading was very fair and never once stressed about my grade in the class as long as I kept up with assignments (1 week grace period helped as well) and often could get away with skimming the readings for key themes/ideas (since I didn't have time to read every word). Beyond the grades though, the subject matter of the class was something I never really learned that much about in high school touching on things like: genocide/displacement, boarding schools, indigenous activism, cultural appropriation/use of the ""Indian Mascot"", and indigenous futurism. I found all the topics, lectures, course discussions etc. to be extremely interesting and valuable for anyone who wants to be mindful of the foundations of the society we live in. Note, I had Elizabeth as a TA and she was amazing as well in terms of leading interesting class discussions every week. This class was one of my favorites at UCLA (I'm a senior) and I would highly recommend it if you have the chance to take it for your major, minor, GE, or just for fun/to learn. Dr. Teeter is great and makes the class accessible to all!"
Shannon Speed,NA,Special Topics in Gender Studies,GENDER 185,A+,"There is a bit of writing in this class. However, it is all doable. The material is fantastic and engaging."
Rebecca Steinberg,NA,Culture and Communication,ANTHRO 4,A-," Easy Anthropology class. My TA was Ricardo. If he's still there, sign up for his section or switch over! He is so helpful and that's coming from the shystudent. He treats everyone fairly. Professor Steinberg is so clear and loves her research. Great class. Learned a lot. Selling textbook:Making Sense of Language: Readings in Culture and CommunicationSecond Editionby Susan D. Blum I will ship it to you priority for only $25 total. I accept Venmo. I will ship ASAP and include a tracking number for you :) Text me: (424) 204-2951"
Christopher Stephan,NA,Visual Anthropology: Documentary Photography,ANTHRO 135,A+,Stephan is one of the best professors I have taken at UCLA. I took him during covid and he was extremely supportive and understanding. He is also a great lecturer and makes it easy to understand. The assignments were easy as he provided detailed information on what he expected and what to include (they were also really fun). 10/10 recommended taking him!!!
Amy Malek,NA,Selected Topics in Cultural Anthropology,ANTHRO 139,B+,Professor was very clear during lectures. Likes to talk about her research as it pertains to the class which is great!.  Attendance is mandatory if you want to be successful in this class.  Office hours are flexible and you should attend at least twice during the quarter.
Lana Martin,NA,Principles of Archaeology,ANTHRO 110,A+,"This class is one of the best I have ever taken at UCLA. Lana genuinely cares about her students and loves teaching, it shows through the way the material is presented. the class is set up with continuous work to make sure you are keeping up. For the summer course, there were 4 writing assignments where the best 3 were taken for your grade. there were 5 online labs which were fun and engaging. then the midterm and final were both take home.  This course is engaging and fun."
Eva Melstrom,NA,Community and Corporate Internships in Anthropology,ANTHRO 195CE,A,"I had Eva as my TA for Global Health 100, I'm leaving this review here because I know she's about to be a professor and people will want to see what she's like. I've almost never had a TA who cared so much about her students. Eva is super super engaging, genuine, and understanding. She always advocated for us to make sure the professor's assignments were reasonable. She also made such an effort to keep us interested in the class even during Zoom University.  Her work is fascinating, and she always had interesting and nuanced thoughts on the broad range of topics we discussed in the course. Even when we had questions about something specific and different from the core themes on the class, she was educated on it and had helpful opinions to share. She goes the extra mile to make sure we learn and I'm sure she will be an excellent professor with generous grading."
Derek Milne,NA,Anthropology of Religion,ANTHRO 142P,B+,"Dr. Milne is one of the finest lecturers at UCLA.  Though he can be very rigorous, he is always there to help.  He is very laid back and friendly.  He even brought his dog, Keiko, to almost every class meeting.  He is both an outstanding teacher and a great academic.  It's rare to find these kinds of professors at UCLA.  Take him if you are wondering what class to take for summer session C."
Jorge Lazareff,NA,Selected Topics in Biological Anthropology,ANTHRO 129,A+,"Dr. Lazarreff is one of the best professors at UCLA. Take this class if you need an easy A. Note-taking and attendance are not required. The only thing we had due the entire quarter was our final which consists of 5 short answer true/false questions that DO NOT relate to the lectures. He is more so testing you on common sense and how well you can argue your answer. Example question: ""True or false. Science is the accumulation of knowledge."" Wish I could take him every quarter! It's a shame he teaches just the one class in Winter."
Jorge Lazareff,NA,Selected Topics in Biological Anthropology,ANTHRO 129,A+," Dr. Lazareff was an incredible professor. Due to COVID, he just had pre-recorded lectures and posted them on CCLE along with his slides. He gives the questions to the exams about 15 days in advance and all of the answers are in the slides and presentations so there's really no reason as to why you can't get an A+ in the class. He values the argument of your answer more, so even if you answer a T/F question wrong but you have a solid argument, then you'll still get full credit. It's just him teaching the course; he has no TAs or any other faculty helping him so he's always available via email and a Zoom call by appointment if needed. The final was the exact same way where he uploaded a PDF of the questions 10 or so days in advance, and you just need to find the answers and explanation and submit them before the deadline.  The professor himself was amazing and taught everything that was tested; there were no surprises. I plan on meeting up with him after COVID and having a cup of coffee with him or something; he's so genuine and a very interesting guy!! I recommend taking his course about neurosciences for the social sciences."
Jorge Lazareff,NA,Selected Topics in Biological Anthropology,ANTHRO 129,A+," If you need an easy A, take this class.  Dr. Lazareff is very kind and extremely knowledgable, however, he can come off a bit rude sometimes and will call anyone out (ruthlessly) for talking or being on their phone and asks you to repeat your conversation to the class. Aside from this, he is very passionate about neuroscience and is a very smart guy.  As far as the class goes, I never thought I'd say this, but it was too easy! As someone who loves neuroscience, I was very interested in learning a lot of valuable information, and although I did that, I wanted ways to challenge that information and fortify it. There is no homework, no textbook, no projects, no quizzes, and only one final exam. You have weekly quizzes (although we only took 4) and they only count for participation. Then at the end of the quarter, everyone starts off at a 90%. If you get 1 or 2 wrong on the final, you get an A+. 3 or 4 wrong is an A, etc.  Overall, I liked the class I lot. I learned a lot but I definitely wanted something to challenge me a little more. Because I knew there was no assignments or tests, it made me lazy. I would recommend if you need the A and like neuroscience, but the structure of the class needs some adjustments."
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,N/A,"DO NOT TAKE THIS CLASS IF YOUR TA IS NATALINA MONTEIRO!!! I read all of the reviews and thought this class would be an easy A in the summer with relatively interesting content but I was utterly fucked over by my TA. In the async format, the grading is split into 30% discussion board posts, 35% midterm, 35% final. The midterm is a take-home exam composed of short responses and two essays based on content from Weeks 1-3. It's a lot of writing and kinda time-consuming but mostly follows the content from the lectures. The final (I didn't take it because I dropped) is a similar format of being a take-home exam with essay questions on Weeks 4-6. Every week, you have to watch lectures, films, and do readings and write two discussion board posts and two replies. There are three ""lessons"" each week, each with its own set of readings and/or films as well as 1-2 30-60 min lecture videos. The discussion board questions align very closely to the lecture topics and aren't too difficult. This class would have been easy and stress-free but my TA graded unnecessarily harshly, giving out 2/3s and 2.5/3s on the discussion posts because she didn't think you ""proved you read the material"" even if you had. The only directions for the posts were that they had to be more than 5 sentences but her expectations were upwards of 400-500 words per post with time stamps and citations, even when the directions did not specify that. The 2s and 2.5s added up and made it basically impossible for me to get an A in the course before my midterm was even graded, which is why I dropped. She didn't grade anything until the end of Week 5 out of 6 so I couldn't even drop for a refund. She also never responded to my email asking about why she took off random points for my discussion posts. The class content is actually really interesting so it's a shame I had to drop because of a shitty TA :/ I'm sure the class is an easy A and well worth your time if you get another TA though"
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A+,"This class is the easiest of Ws. You learn quite a lot of important concepts as well; I would even suggest that this class be mandatory for students here, since it is so crucial to understanding American social struggles, and everyone can take away something important from this course. Highly recommend this course for anyone who wants an easy GE, while also wanting to learn a bit too. 10/10"
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A," This class is so great! You learn about very important issues and Dr. Pierre is a great lecturer. The books we read for this class are very interesting, and the readings and lectures are too. Dr. Pierre brings in amazing guest lecturers and I really like that. You can tell she's very smart and passionate and that's great to be around (it was an online class, but I still like her energy).  There are not that many assignments week-to-week, but I say the midterm and final exam are time consuming.  I had Joelle Julien as my T.A. and she was great too! Overall, great class, great professor, and I would take it again."
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A,"Amazing class, if you need to knock off a GE this is a go-to.  The class is at your pace and all assignments are easy as long as you pay attention to the lectures. You will have a blast while educating yourself on important issues!!"
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A+,i really enjoyed this class and professor! appreciated that she offered it online because it worked super well with my schedule but I still feel like i got a ton out of it!! learned a lot more than anticipated.
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A+,Prof Pierre gives amazing lectures and her TA was pretty decent. The only A+ I've gotten at UCLA
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A," Quick Summary if you do not want to read the following: not an easy class, but you can learn a lot indeed. Looking at the past gradings of this class, one might assume that this is an easy class and want to take it to fulfill the GE requirement. Please do not assume that if you are taking it in summer. The workload was enormous. Basically, every week you have video lectures, some documentaries, lots of readings, and there are two novels to be finished along with the progress of this class. Weekly assignments are the discussion posts. You would easily procrastinate because you are not necessarily pushed to do all the reading and watch all the documentaries, but then here comes the midterm and final. I wrote 10 pages for the midterm and 20 pages for the final.  Nevertheless, this is a very very insightful class if you really pay attention to all the details mentioned. The recordings included not only Dr. Pierre's lectures, but also interviews with scholars, and lectures given by scholars in the specific fields. You acquire not only historical facts, but also different perspectives and approaches to understand and analyze the ""black experience"" (not only in the United States, but actually across the world)."
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A+,"This class was extremely interesting. However, the workload was very intense. There were immense amounts of reading and writing that we had to do. Additionally, when the TA strike happened, we continued to have to do all of that work, but received no grades until over a month after the quarter ended. I had Professor Edu, not Professor Pierre, and this was an unusual circumstance, but it was very frustrating. The class itself is amazing and informative though, so I recommend with a different professor!"
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,F,The content taught in this class is absolutely amazing. The workload is also easy to handle as you just have to watch lectures and post in two discussions a week. There is just the final and midterm which both consist of multiple easy writing prompts. Altogether this class is great. The problem comes with the professor NEVER responding to emails and never being very clear with the specifics of how she wants her papers. Also the TAs graded absolutely nothing the entire quarter so you never know how to improve because they continue to give more and more assignments without grading. Honestly it's a good class just annoying how you never know what your actual current grade is.
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A+,"This was the perfect class all-around. You have to submit a discussion post every week and the grading is very fair with that. The exams follow really closely with the class materials. We were given about a week to do them so you could split them up which made it stress-free. Lectures are pretty short and are very well-done. The class teaches you very important lessons about African American history and the challenges they face in society today. My TA, Mauri, was very fair with grading and had a lot of passion for the subject.  So, I highly recommend her."
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A,"This is a great class that teaches valuable material! The grading consists of a midterm, final, discussion posts, and a one page mini essay. The mini essay is great as the prof gives you 3 opportunities throughout the quarter to submit the mini essay, so if you have a lighter week 3 you can get the assignment out of the way early, or you can wait til week 9 to submit. While tedious, the readings are interesting and informative. There are 2 discussion posts you have to answer every week with a brief 4-5 sentence response. Then you must respond to 2 discussion posts in 3-4 sentences, so not a huge time investment. The midterm and the final are short answer and essay based, but if you did the discussion posts you’ll be set. The lectures are filmed and edited by the UCLA film dept, so lectures seem more like mini documentaries. And they are SHORT. Most were under 30 minutes. If you are good at managing time then this asynchronous class is for you. Sucks to not have more communication with the prof and TA tho. Wish it hadn’t taken til week 10 to get my midterm back from week 5"
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A,"I adored this class. Prof Pierre is an interesting lecturer and the actual material taught in the class I found super intriguing. There is a fair amount of reading but you don't really have to read all of it. Is is helpful however to read the two required books, which were overall both good reads. I would absolutely recommend this class as an easy GE, as well as if you are interested in this area of study."
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A,I took this class asynchronously even the discussion were asynch. It was a great class though. The prerecorded lectures were precise and informative. Quite a bit of writing for the class and discussion section. But def doable.
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A+,"I learned so much more than I was expecting to about the history of the United States through this class, and believe that this class should be required for every college student! The professor Dr. Pierre was incredibly kind as well, considering the hardships a lot of students have faced during the pandemic. The workload is manageable and the class was asynchronous! Definitely would recommend this as a GE to fulfill one of your requirements!"
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A+,"I never had the chance to interact with Dr. Pierre personally as all lectures were prerecorded BUT this class was AMAZING. It was very easy yet also very engaging. There was a variety of lecturers who all offered unique and personal perspectives on a variety of topics. The material was all super interesting and very eye-opening as well. I saw another review that suggested this class be required for all students and if that was ever possible I would agree 100%.Overall: easy, interesting, and very manageable workload. Best possible GE you could take IMO."
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A," This class is an easy GE, but it is a little tedious in regards to the readings/ lectures we had every week. It was interesting in the beginning, but I felt so disconnected halfway through the quarter because it felt as if I was watching/ reading the material simply to get it done and I did not gain much from it. This class is essentially self-paced, so I eventually stopped reading the material and only really watched the lectures. I only read the material when required for the discussion forums that we had + midterms/ finals. Your grade is made up of weekly discussion forums, one paper, midterms, and finals. Your midterms and finals are simply short answer + long answer questions to the material that you should have read/ watched within the previous weeks. So pretty easy! The only complaint I have about this class is that it is literally impossible to reach the TAs + professor of this class. I am 99% sure that they read our emails but choose not to reply to them which is honestly so unprofessional of them. So good luck with that! Your best bet in getting your questions answered is asking your peers in the class. Be sure to join the GroupMe or create one if there isn’t one already!"
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A+,"This class has been one of the most interesting classes I've taken at UCLA. This was my first Black Studies class and just when you think you are educated on topics like racism and Black History, this class shows how we don't really know much about African American studies, but the surface of it. For this class, you do have to read articles, but I didn't mind reading them because they were so intriguing. My TA was awesome as well and you can tell that everyone is so passionate on this topic and I have never seen a more passionate professor than Pierre and the other professors that helped her teach this topic. I would take this class again, it isn't much work. You watch the lectures, you have two discussion posts each week and one discussion post in the week of your midterm and final. If you watch the lectures and do the reading and take detailed notes, you are good to go for the midterm and final. Got a perfect score on my discussion post, midterm, and final!"
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A,"This class is pretty interesting and informative and you get to learn a lot about black studies. If you take it during summer there are three lectures per week with readings accompanied and sometimes there are also screenings to watch, which can be a lot of work so it's very important to stay on track. The grading consists of 30% discussion board questions, 35% midterm and 35% final.  Midterm and final are short answer and long essay questions, both open book.  The lectures are done by multiple professors so it's really nice to get different perspectives. I definitely recommend this class for everyone!"
Jemima Pierre,NA,Introduction to Black Studies,AF AMER 1,A+,"This class was online and super easy GE. Just had weekly discussion posts and then an open note midterm and final that was based on the lectures that were posted. Also had to write an essay for a novel, but not a ton of work and interesting information"
Jemima Pierre,NA,Study of Social Systems,ANTHRO 140,A,"Professor Pierre is no doubt an extremely knowledgeable and helpful professor who loves what she does and has much to offer. She is kind, accepting, and accommodating in every way. The workload is fairly reasonable with weekly readings (student purchased) followed by weekly reflection papers and three exams. With that being said, the structure of this class did not work well with me. This class should be considered two separate classes with how it is broken up and structured. There is lecture and discussion that both seem to encompass two completely different concepts, ideas, and set of materials. In discussion, students are expected to read multiple books and write weekly reflections on them. These discussions, which are heavily student driven, consist of students talking about the key points and ideas of the books. Conversely, when attending lecture, often the readings are not even discussed, brought up, or relevant to the lecture itself. These lectures also consist of Professor Pierre almost entirely reading slideshows verbatim. Personally, I feel attending lecture is useless when a professor takes an hour and a half to read a slideshow that is available online that I could read in 15 minutes on my own. Furthermore, she talks extremely fast and often stumbles over her words making it sometimes difficult to follow what she is saying or where she is going with her thoughts. Again though, this is counterbalanced by a very heavy reliance on slideshows but is also bolstered by her frequent asking of student questions with further explanations if necessary. Overall, Professor Pierre is a wonderful professor who no doubt has a passion for what she does, but personally, the style of her teaching doesn't work well with me."
Jemima Pierre,NA,Study of Social Systems,ANTHRO 140,A+,"I really liked this class and learned so much from it. We were assigned to read three ethnographies through the quarter, and each was very interesting. Also, we were assigned to watch movies that were eye-opening and fabulous. Being an IDS major, I really took away important ideas that will help me with this major. You won't regret taking this course because when you finish it, you realize how much you have learned in just 10 weeks. Grading is as follows:Attendance+participation+response papers=20 pointsExam 1=25 pointsExam 2=25 pointsExam 3=30 pointsThe exams are not cumulative. You read a book in three weeks, attend the lectures, watch a movie and take the exam. Most answers come from the lectures (the professor posts lecture notes for the students) and the rest is from the movie and the book. Her exam questions never confused anyone as they were very clear and easy.Professor Pierre is very knowledgeable and passionate about the topic. I also had an amazing TA, Sita, who is very smart and helpful! Take this class! You will love it! Good luck!"
Jemima Pierre,NA,Study of Social Systems,ANTHRO 140,A,"Very knowledgeable professor. Took the class during covid-19 pandemic. She doesn't record any of the lectures or discussions, so that was kinda hard because I had a 15 hour time difference (I was waking up at dawn trying to listen to her speak), but she gives very detailed lecture notes that were very useful for the exams. Her exams are open book, and in the form of short answers and essays, and she gives you a week to do them. Super accommodating on that part. We have to finish 3 books throughout the quarter, so each week we had about 2-3 chapters to read, and a reading response to submit. But the responses make sure that you're reading, and they really help for the exam. Overall a great class. I definitely recommend you take this class."
Jemima Pierre,NA,Study of Social Systems,ANTHRO 140,A,"difficult class in that the readings were super dense. the class was structured around three ethnographic novels that were difficult to understand, very dense, like graduate level stuff tbh (this was my perspective as a non-anthro major). but you can get by if you understand the basic concepts from section and ask questions. the lectures are AMAZING though, professor Pierre takes a very liberal stance when it comes to capitalism and I loved learning from her. I learned so much about US imperialism, indigenous struggles against settler colonialism, and neoliberalism in the West African context."
Fernanda Neubauer,NA,Archaeology of North America,ANTHRO 113P,N/A,"Dr. Neubauer is my favorite professor at UCLA after taking this class. She is so knowledgeable and cares a lot about the subject and her students. The course was divided into two quizzes, a short paper and a research paper+debate. All the assignments are manageable as long as you come to lecture and complete the readings (which are usually quite interesting). She offers a lot of extra credit that can boost your grade up to two ranges (B+ to A). She also notes that if you participate in class and care about your grade, she might even boost it to three ranges! Take this class you won't be disappointed, as long you somewhat have an interest for archaeology."
Fernanda Neubauer,NA,Archaeology of North America,ANTHRO 113P,A+," Excellent class. Very easy A,  very good lecturer. The first multiple choice was out of 27 but she said anyone who got 25 got 100%. The papers are easy the only difficulty is they are so short and you have to reference 3+ sources on 1 page double spaced. She says they are this short because she is the only grader. She would benefit from a TA as students cannot really make an argument in such a short paper. There is a lot of reading, 2-4 papers a week ranging from 4 pages to 100 so just be wary. Each paper has a McQ question in the quiz and some are simple like ‘what is their main argument’ and others are far harder like ‘which group did the author study to investigate the trend’. You can skim them but it’s best to take notes. Only 1 class I’m the quarter requires participation. The class has a very good atmosphere mainly because the lecturer is so nice. She is funny and clear her slides are excellent. I learnt a lot."
Fernanda Neubauer,NA,Archaeology of North America,ANTHRO 113P,A,"Professor Neubaeur was great! I honestly was hesitant when I enrolled in her class because she had no reviews and she is new to UCLA, but this class was amazing! Very very easy to get an A, there are also two short extra credit papers you can do to bump your grade but I didn't even need them. There are two quizzes and two papers, with one of the papers being 45% of your grade along with 5% of a debate participation based on that paper. She grades superrr leniently and is very fair. The quizzes were open note and based on the readings and powerpoint lectures she had. As long as you do all the assignments you won't get less than an A."
Kelly Nicole Fong,NA,History of Asian Americans,ASIA AM 10,A,"This is my first time writing a Bruinwalk review and it's because I LOVE PROFESSOR FONG. She is the best professor I've had at UCLA thus far, and I've been here for three years now. She took such care to convert her class to an online format that was organized and well thought out so that students were never confused about their responsibilities or expectations for the course. Though the class was online, she was able to connect with her students and provided a space for us to connect with each other. She has such a mastery of the subject matter she teaches, and explains extremely complex issues with incredible clarity. Beyond that, she did extra work to connect course material to current events that helped me to understand the underlying issues much better than I would have been able to on my own."
Kelly Nicole Fong,NA,History of Asian Americans,ASIA AM 10,A-,"I got an A- in this class because I didn't use my office hours to go talk to my TA about my essays. I think that if I did, I would've ended up with an A. This class has a good amount of weekly readings and Professor Fong is a great lecturer, so if you are just on top of your readings and go to class, you will be fine. The midterm and final are both short-answer and long-answer essay tests and are not too difficult."
Kelly Nicole Fong,NA,History of Asian Americans,ASIA AM 10,N/A," Dr. Fong is very passionate about the subject and explains course material very well. Some of the stuff in her lectures is just a repeat of what's in the assigned readings, but the repetition makes the info stick. There's a lot of extra credit for this class (20 points possible) so be on the look out for that. Something else that's also very helpful is that she puts out constant reminders for assignment deadlines. Make sure to take notes during lecture because she doesn't let you save her slides and she removes the slides/lecture vids from Canvas a week after she posts it.  Also, I'm selling a brand new copy of The Best We Could Do by Thi Bui for $12! Email me at cakerolle@gmail.com if you're interested."
Kelly Nicole Fong,NA,History of Asian Americans,ASIA AM 10,A," I entered this class with little interest in the topic, because I heard it was an easy class. I genuinely feel interested in the topic now due to Dr Fong's enthusiasm for the topic. Lectures are well structured, and readings complement topics covered in lecture very well. There is adequate preparation for exams, and the requirements for the final paper are clearly laid out. Grading in this class is also very lenient"
Kelly Nicole Fong,NA,History of Asian Americans,ASIA AM 10,A,"This was one of the most engaging classes I've taken at UCLA. Professor Fong is an amazing lecturer. She transitioned very nicely to online and was able to adjust her class with the student's learning being her top priority. I would highly recommend taking this class if you are Asian American because it gives you major insight into your ethnic group's history with the US, something overlooked in normal history classes. There are a lot of readings but they give needed background for lecture."
Kelly Nicole Fong,NA,History of Asian Americans,ASIA AM 10,N/A,"Professor Fong was by far the best, most engaging, and most accommodating professor I've had thus far at UCLA! Despite the transition to online instruction being so sudden, her efforts in making her lectures and slides more accessible to us at home while also involving discussions regarding recent events such as the BLM movement and COVID-19 anti-Asian sentiment. Her lectures were engaging and packed with information, and her class readings were long but very interesting to read as an Asian-American myself. I will definitely look to take more classes taught by her in the future, and I 110% recommend taking Asian Am 10 even if you're not a North campus major."
Kelly Nicole Fong,NA,History of Asian Americans,ASIA AM 10,A-," this was my favorite class this quarter! Professor Fong and all the TAs are very approachable, easy to talk to, and you can tell they're genuinely passionate about what they do. especially if you identify with being Asian American, you learn about your own history, and it's very interesting.  most of the homework was just readings, which are easily manageable. i recommending spreading them out over the week so that you're not reading everything last minute. over the quarter, you're working on a thesis paper that requires you to interview an Asian-American. there are deadlines for drafts and bibliographies, which were all very helpful and helped prevent procrastination for the most part. the midterm and final were all short answers and an essay (the final has 2 essays). these were also very manageable as long as you listen in lecture and discussions and study from your notes.  Professor Fong doesn't post the slides, but she goes over the material at a great pace and gives enough time for students to take notes. she doesn't allow people to use phones or take pictures (you WILL get called out if you do), but she does allow laptops.  the only issue i had with the class was that it was an 8am lecture but it be like that. also, since we're on the quarter system, we don't get to cover all the Asian-American history and groups in as much depth as I had hoped.  nonetheless, 10/10 recommend"
